5	9	6	7	111	34	2	2	0	
32	27	38	23	8	25	14	15	13	
91	53	28	7	0	0	13	18	0	
31	27	20	2	7	0	5	0	0	
8	4	1	0	27	2	5	6	0	
15	6	2	6	11	2	0	4	0	
12	2	4	0	6	0	2	4	0	
10	0	0	0	9	0	0	0	0	
11	2	3	2	12	0	2	0	0	
9	0	3	2	22	2	3	0	0	
7	0	5	0	7	0	2	0	0	
17	2	15	7	20	2	5	2	0	
20	0	6	3	21	0	5	0	0	
7	2	7	2	27	0	3	2	0	
4	0	5	0	26	0	8	0	0	
11	0	11	0	20	2	4	2	0	
12	0	4	0	24	0	2	2	0	
9	0	5	2	28	0	6	0	0	
4	5	7	11	32	7	9	2	0	
8	0	4	5	25	2	5	2	0	
10	2	8	0	21	0	4	9	0	
6	0	0	0	11	0	6	0	0	
2	0	1	0	25	2	3	2	0	
6	0	6	8	38	4	3	2	0	
4	0	1	0	2	0	1	0	0	
13	6	7	2	21	7	5	2	3	
7	4	6	4	27	2	1	6	0	
16	0	3	0	10	2	1	0	0	
3	0	0	0	4	2	1	2	0	
10	0	2	2	27	6	5	8	0	
10	0	0	0	29	0	0	0	0	
7	0	2	2	19	0	0	0	0	
5	0	26	174	77	54	5	0	0	
49	62	118	74	20	8	0	11	7	
21	133	67	4	0	0	0	0	0	
6	2	0	5	11	2	0	0	0	
9	0	0	0	14	0	0	0	0	
9	0	5	2	22	0	1	0	0	
13	6	6	8	22	2	7	2	0	
10	2	5	2	19	4	2	4	0	
12	0	6	2	17	2	5	0	0	
7	0	4	6	56	7	15	2	3	
9	0	7	0	24	2	7	0	0	
23	4	7	8	24	2	3	0	0	
12	0	13	8	34	3	6	2	0	
7	4	10	8	34	14	16	8	3	
2	0	6	0	37	17	9	4	0	
7	0	4	19	50	14	7	2	0	
4	6	16	24	63	4	2	0	0	
2	4	6	12	47	22	12	2	0	
11	0	2	0	64	19	6	4	3	
6	0	2	4	50	12	10	0	0	
16	2	9	11	36	4	6	11	0	
4	0	7	18	30	13	10	11	0	
8	0	6	0	24	2	9	2	0	
6	0	6	0	19	0	11	0	0	
3	0	2	2	18	4	1	2	0	
7	0	3	2	7	0	2	0	0	
6	0	5	0	17	8	3	0	0	
7	0	3	2	14	12	7	4	0	
7	7	3	8	32	8	2	2	0	
6	0	1	0	4	0	0	2	0	
11	0	4	6	19	2	2	0	0	
4	2	0	2	40	8	6	4	0	
11	15	25	58	33	15	12	2	8	
87	94	22	6	2	2	7	5	25	
24	14	4	0	8	0	1	0	0	
0	0	0	0	2	0	0	0	0	
4	2	1	0	21	0	1	0	0	
12	0	2	0	14	2	5	2	0	
1	0	3	0	7	0	0	0	0	
6	0	5	0	16	0	4	0	0	
7	0	10	0	22	0	1	0	0	
15	7	13	12	26	6	7	6	0	
8	4	3	7	20	16	24	6	0	
9	0	14	15	34	3	4	4	0	
12	8	24	34	38	10	3	10	0	
5	0	12	16	44	18	7	12	0	
10	0	9	15	33	10	7	9	0	
10	6	9	10	39	18	5	2	0	
5	4	28	34	40	5	2	0	0	
4	0	22	36	46	4	2	8	0	
11	2	5	12	32	17	20	3	6	
6	0	8	10	38	21	17	2	0	
7	0	11	32	30	0	4	0	0	
21	6	25	4	20	6	6	4	0	
15	6	7	12	25	11	32	3	3	
11	0	2	0	18	0	8	0	3	
16	0	4	4	23	2	10	0	3	
11	2	10	2	25	2	6	2	0	
7	0	0	4	34	8	2	2	0	
2	0	7	0	11	0	1	0	0	
9	0	2	0	7	0	1	0	0	
10	2	8	5	30	2	4	2	0	
4	2	0	4	25	0	1	2	0	
10	0	0	0	11	0	0	0	0	
59	69	35	18	23	10	9	17	18	
28	36	58	35	4	0	1	3	0	
0	0	0	0	0	0	0	0	0	
5	2	1	2	8	0	3	2	0	
15	0	4	2	10	0	2	0	0	
4	2	9	2	7	2	1	0	0	
14	2	12	8	23	4	7	2	0	
12	7	15	26	21	3	4	0	0	
9	8	14	13	22	2	5	0	0	
8	4	7	23	35	12	3	8	0	
2	0	6	26	58	40	6	4	0	
5	0	12	62	42	17	13	5	0	
13	15	9	26	62	4	7	2	3	
22	6	25	17	28	8	5	4	3	
16	2	1	21	36	32	13	28	10	
14	6	9	5	38	13	16	4	8	
24	8	4	7	66	19	5	2	6	
30	8	6	17	29	11	7	8	4	
36	10	12	14	15	6	4	2	0	
7	2	12	9	31	0	1	0	0	
29	2	9	10	39	3	1	0	3	
17	8	8	6	35	24	12	0	10	
20	9	6	12	24	6	2	4	3	
11	2	4	0	12	0	6	2	0	
18	4	6	7	12	12	4	2	0	
16	0	2	0	9	2	11	0	0	
12	0	5	0	12	0	6	0	0	
3	0	7	6	25	6	4	0	0	
14	0	6	0	11	0	4	0	0	
9	0	2	0	3	0	2	0	0	
10	0	0	0	9	0	1	0	0	
5	0	3	2	22	6	5	2	0	
68	36	63	22	10	0	2	13	6	
10	0	9	5	13	0	1	0	0	
17	0	0	0	20	0	0	0	0	
7	0	2	0	10	0	4	0	0	
14	4	9	3	16	2	7	2	3	
15	4	8	2	7	0	2	0	0	
16	5	37	20	9	2	4	4	0	
6	4	15	77	36	0	2	0	0	
3	4	12	21	67	49	4	0	0	
10	7	21	27	28	17	6	6	0	
13	8	6	29	35	22	12	7	0	
15	4	18	34	38	28	8	7	3	
12	8	2	14	55	23	15	4	0	
30	20	14	15	11	0	2	2	3	
25	2	5	7	25	15	17	4	0	
12	12	17	23	28	19	20	0	3	
13	4	24	17	21	16	12	2	6	
32	8	12	9	8	17	33	23	9	
3	7	10	2	40	24	6	0	0	
9	4	17	25	38	9	4	4	0	
7	2	11	12	26	9	6	3	0	
14	5	9	27	31	6	5	2	3	
12	2	8	6	10	9	9	2	3	
11	0	2	0	7	0	6	0	0	
20	2	4	0	18	0	5	0	0	
12	0	13	13	14	0	3	2	0	
4	2	0	0	37	2	7	0	0	
3	0	4	0	14	0	11	0	0	
0	0	0	0	1	0	0	0	0	
18	0	2	0	12	0	3	0	0	
8	2	2	0	15	3	2	0	0	
12	0	0	0	16	0	0	0	0	
37	15	27	13	10	2	2	4	0	
6	5	0	2	6	0	1	0	0	
18	0	0	0	20	0	0	0	0	
11	4	5	4	20	4	2	2	0	
11	0	10	9	7	2	1	2	0	
17	4	13	0	10	0	2	4	0	
27	8	4	2	10	3	14	15	3	
29	2	6	7	22	35	22	9	6	
19	2	7	6	17	11	10	18	6	
9	15	9	6	37	38	11	10	3	
10	2	14	7	72	57	9	7	0	
12	0	11	7	33	40	25	6	7	
11	2	4	10	51	23	16	7	7	
12	2	6	10	26	21	15	5	3	
14	4	7	7	39	7	7	2	0	
12	4	9	21	36	19	4	2	3	
25	6	22	31	17	18	12	29	9	
14	14	48	13	50	57	26	11	0	
14	6	14	25	23	15	11	12	6	
14	7	30	31	38	23	3	2	0	
8	4	14	16	50	26	9	8	0	
15	8	30	47	24	18	5	4	3	
25	7	29	28	18	7	3	0	0	
6	0	13	27	28	0	1	0	0	
6	0	8	4	39	0	0	0	0	
5	0	4	4	19	4	1	0	0	
12	0	0	4	25	4	5	0	0	
6	0	5	0	12	0	2	0	0	
6	2	0	6	19	3	3	0	0	
6	0	9	5	21	0	5	2	0	
15	2	9	6	18	6	5	6	0	
18	2	2	2	13	2	0	0	0	
31	0	4	3	15	4	3	2	3	
0	0	0	0	0	0	0	0	0	
8	4	3	0	7	0	0	0	0	
6	2	5	4	24	2	5	4	0	
13	2	13	2	8	0	6	0	0	
26	2	11	5	16	3	3	0	0	
7	0	7	25	34	6	5	2	0	
27	8	11	5	18	8	5	11	3	
54	2	4	3	30	8	13	20	3	
